"Date","Share_Price","Shares_outstanding","Market_cap","Revenue","Net_Income","Earned_per_share","BookValue","BookValue_per_share","CurrentAssetValuePerShare","Current_Asset_Value","Cash_Asset_Value","Cash_Asset_ValuePerShare","Total_Assets","Equity","Working_capital","Total_Liabilities","EBIDTA","Interest","Dividends"
2015-12-30,299,6725000,2010775000,3131693000,227234000,33.7894423791822,2271465000,337.764312267658,103.543940520446,696333000,-220822000,-32.8359851301115,3305746000,2049903000,787824000,932487000,291552000,20006000,13663000
2016-12-30,525,5580267,2929640175,3140935000,345254000,61.870516231571,2181093000,390.858179366686,99.5065289886667,555273000,-636173000,-114.004043175712,3718971000,1936754000,731619000,1440112000,412869000,23825000,18153000
2017-12-29,504.5,5580267,2815244701.5,3501090000,275428000,49.3574949012296,2459408000,440.733033025122,151.479131733302,845294000,-84587000,-15.1582352600691,3937757000,2235668000,1017190000,1370306000,359614000,40924000,24382000
2018-12-28,320,5580267,1785685440,3956688000,284652000,51.0104624026055,2967069000,531.70735378791,211.823556112996,1182032000,-114621000,-20.5404150016478,4357371000,2699840000,1298552000,1243137000,299847000,20007000,24460000
2019-12-30,181.6,5580267,1013376487.2,3816269000,154488000,27.6846968075183,3027353000,542.510421096338,215.374999081585,1201850000,-108508000,-19.4449477059073,4345081000,2758025000,1317877000,1150515000,203708000,22838000,35572000
2020-12-30,300.5,5580267,1676870233.5,3321050000,183776000,32.9331911895972,3015874000,540.453351067252,124.493684621184,694708000,-897788000,-160.886208491457,4360350000,2913187000,1160900000,1447163000,196084000,18302000,2777000
2021-12-30,263.5,5580267,1470400354.5,4674169000,528729000,94.7497673498419,3549160000,636.019746008569,238.835166847751,1332764000,-863283000,-154.702812607354,4841895000,3371213000,1548534000,1470682000,633247000,31013000,36094000
