"Date","Share_Price","Shares_outstanding","Market_cap","Revenue","Net_income","Earned_per_share","BookValue","BookValue_pershare","Current_Asset_Value","CurrentAssetValuePerShare","Cash_Asset_Value","Cash_Asset_ValuePerShare","Total_Assets","Equity","Working_capital","Total_Liabilities","EBIDTA","Interest","Dividends"
2015-12-30,1.72,6118550,10523906,138280000,-6426000,-1.05024883346545,50726000,8.29052635019735,32621000,5.33149193844947,-18695000,-3.05546248702715,78953000,51772000,38608000,27217000,-6380000,2507000,0
2016-12-30,1.88,6118550,11502874,99211000,-6559000,-1.072,44150000,7.21576190437277,4812000,0.786460844481127,-17354000,-2.83629291253647,67551000,45212000,9871000,22361000,-6466000,1941000,0
2017-12-29,1.94,6118550,11869987,126028000,321000,0.05,39994000,6.53651600460894,9840000,1.60822417075941,-20848000,-3.40734324308864,83075000,54244000,15961000,28843000,1101000,1987000,0
2018-12-28,1.4,6118550,8565970,153724000,220000,0.04,39810000,6.50644352011506,9440000,1.54284920446838,-26887000,-4.39434179666751,92276000,54280000,16920000,38012000,408000,1822000,306000
2019-12-30,1.23,6118550,7525816.5,123437000,-4416000,-0.72,47243000,7.72127383121818,5703000,0.932083581894403,-16978000,-2.7748404442229,84119000,60201000,13182000,23971000,-4248000,980000,184000
2020-12-30,1.93,6118550,11808801.5,115414000,2959000,0.48,44593000,7.28816467954009,9123000,1.49103954368274,-23666000,-3.86790988060897,89161000,63123000,18475000,26060000,2156000,1383000,0
2021-12-30,5.9,6118550,36099445,157771000,21534000,3.52,64291000,10.507554894542,26213000,4.28418497846712,-29829000,-4.87517467373806,117011000,82822000,34205000,34203000,27506000,933000,1835000
