"Date","Share_Price","Shares_outstanding","Market_cap","Revenue","Net_income","Earned_per_share","BookValue","BookValue_pershare","CurrentAssetValuePerShare","Current_Asset_Value","Cash_Asset_Value","Cash_Asset_ValuePerShare","Total_Assets","Equity","Working_capital","Total_Liabilities","EBIDTA","Interest","Dividends"
2015-12-30,50.8,15152825,769763510,1441886045.97,75524812.13,4.98420671590941,421536491.41,27.8190034802091,10.3880345242554,157408069.24,-185522378.37,-12.2434185288882,610959518.08,421396669.9,175435112.08,189562848.18,86428598.08,6291011.19,29401008
2016-12-30,61.4,15303595,939640733,1271836179.11,92152094.94,6.02159786246304,479740291.39,31.3482087960378,7.36407801696268,112696867.52,-256273085.7,-16.7459401336745,743352728.1,479634757.81,178782490.65,263717970.29,92708235.38,1018764.78,38831935.5
2017-12-29,53.95,15479493,835118647.35,1456240675.54,66003381.5,4.2639239863993,503945562.07,32.5556891346506,7.88436174492279,122045922.44,-330648673.08,-21.3604329986777,841827916.24,503811264.46,180853615.93,338016651.78,68868129.53,1416147.33,44906621.6
2018-12-28,42.65,15479493,660200376.45,1655340494.91,73994583.2,4.78016839440413,534056441.38,34.5009000863271,10.4804208186922,162231600.7,-302849562.01,-19.5645659718958,865757402.86,533744726.38,211806139.24,332012676.48,90840112.99,1099256.72,45200119.56
2019-12-30,40.2,15479493,622275618.6,1383808422.61,48396964.54,3.12652129756446,519958906.36,33.5901767816297,9.81393534206837,151914743.43,-186795693.56,-12.0673004962113,765943361.33,519792743.36,193639531.43,246150617.97,63369473.06,1616839.32,63156331.44
2020-12-30,47,15634287,734811489,1061602000,54152000,3.46366930580205,573930000,36.7097009284785,11.8866309669255,185839000,-285145000,-18.2384396550991,878183000,573836000,211444000,304347000,66783000,1687000,0
2021-12-30,56.6,15634287,884900644.2,2186948000,150524000,9.6278135357244,686084000,43.8832931748023,19.4248065166003,303693000,-480914000,-30.7602131136521,1172616000,685897000,332798000,486719000,178722000,1294000,45484000
