"Date","Share_Price","Shares_outstanding","Market_cap","Revenue","Net_income","Earned_per_share","BookValue","BookValue_pershare","CurrentAssetValuePerShare","Current_Asset_Value","Cash_Asset_Value","Cash_Asset_ValuePerShare","Total_Assets","Equity","Working_capital","Total_Liabilities","EBIDTA","Interest","Dividends"
2015-12-30,94,6676854,627624276,377137000,33490000,5.0158353020749,366142000,54.8375028119531,1.46251513062889,9765000,-151551000,-22.6979652393178,356826000,365693000,162326000,172908000,38420000,2355000,0
2016-12-30,105,6676854,701069670,568251000,45007000,6.74074946074903,410222000,61.4394144308083,3.36296105920543,22454000,-165862000,-24.8413399484248,388604000,409386000,118597000,212413000,56459000,3513000,0
2017-12-30,100.55,6676854,671357669.7,617482000,41078000,6.15229867239871,419452000,62.8218020043571,-0.0262099485775786,-175000,-229553000,-34.3804132904509,420958000,418121000,111396000,275275000,55868000,9142000,34719640.8
2018-12-30,58,6676854,387257532,702823000,56777000,8.5035557165096,405967000,60.8021382525363,-5.6511644555954,-37732000,-275550000,-41.2694361745816,444768000,404898000,102760000,317953000,63281000,3775000,60091686
2019-12-30,73,6676854,487410342,675759000,50537000,7.56898383580051,419241000,62.7902002949293,-8.66845373584625,-57878000,-275125000,-41.2057834423218,477584000,418776000,91811000,314273000,64518000,5133000,30045843
2020-12-30,63.5,6676854,423980229,566137000,34543000,5.17354430694456,443332000,66.3983367016861,-5.75345814061533,-38415000,-251090000,-37.6060342191098,484829000,440250000,101104000,290730000,39978000,4457000,0
2021-12-30,79,6676854,527471466,791022000,71625000,10.7273575249661,490064000,73.3974413698427,0.911057812556632,6083000,-328209000,-49.1562343582771,490171000,483874000,122678000,371967000,91903000,4459000,30045843
