"Date","Share_Price","Shares_outstanding","Market_cap","Revenue","Net_income","Earned_per_share","BookValue","BookValue_pershare","CurrentAssetValuePerShare","Current_Asset_Value","Cash_Asset_Value","Cash_Asset_ValuePerShare","Total_Assets","Equity","Working_capital","Total_Liabilities","EBIDTA","Interest","Dividends"
2015-12-30,1.75,19514647,34150632.25,760704919.1,1136450.07,0.0582357482561688,75889961.61,3.88887186173544,-1.99255307513377,-38883969.89,-200660819.47,-10.2825749023285,287422582.84,76805416.96,5523829.99,209883593.52,6810325.18,14559162.52,0
2016-12-30,4.09,19514647,79814906.23,819972915.25,21662751.23,1.11007650971089,92419663.14,4.73591262706418,-1.56569551065925,-30553995.2,-259720079.64,-13.3089816915469,363565558.89,94090489.87,51567320.32,268653816.59,43975959.15,19691335.62,0
2017-12-29,3.89,19514647,75911976.83,1127696641.67,18774144.87,0.962054034080145,96420343.48,4.94092173330114,-1.80596756836032,-35242819.59,-286232724.4,-14.6675840152271,395637575.5,98817792.76,65441672.84,295932340.74,39533570.06,22026378.84,1833060.7
2018-12-28,2.77,19514647,54055572.19,1366721949.46,11427008.45,0.585560602249172,102802050.1,5.26794310447942,-2.1812129207359,-42565600.18,-372285661.69,-19.0772429391113,481772913.97,105933118.79,69374593.93,374840442.2,32609879.8,24816841.39,1795008.7
2019-12-30,1.8,19514647,35126364.6,1302963845.9,3195028.63,0.163724643853409,100037007.35,5.12625246821016,-2.94503911959053,-57471398.82,-303344114.94,-15.5444325967054,413872636.66,104824847.19,71584226.28,308082442.77,15527159.84,20739710.86,530066.01
2020-12-30,3.16,19514647,61666284.52,1205732369.89,17532313.81,0.898418188655936,111327701.65,5.70482784802615,-2.31081942399471,-45094825.34,-291743251.49,-14.9499630451937,419158728.32,118607300.72,69545934.41,299244399.04,28268294.03,18793773.68,0
2021-12-30,8.08,19514647,157678347.76,2258542894.04,153338621,7.85761694792634,258436345.27,13.243198571309,4.89475818138038,95519478.06,-396310475.19,-20.3083599303641,676396141.89,266143987.59,200531140.2,407300263.69,228104502.32,37083653.23,2061861.24
